"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000002602"	325.6	179.56	242.83	1172.42	1436.69	607.2	195.68	237.55	306.4
"ENSMUSG00000002603"	6284.54	6246.62	5645.24	1886.85	3001.79	1595.8	762.24	1015.27	1212.25
"ENSMUSG00000002608"	1952.7	1813.51	1650.68	1209.28	1348.83	813.38	1375.38	1452.14	1450.96
"ENSMUSG00000002617"	92.5	92.5	96.16	36.86	57.93	16.62	24.23	56.13	35.63
"ENSMUSG00000002661"	148	244.86	190.25	287.03	348.55	456.91	614.08	251.38	197.74
"ENSMUSG00000002668"	2649.24	2745.53	3223.18	1784.9	1560.28	1078.47	1477.88	1696.19	1584.57
"ENSMUSG00000002679"	246.05	265.07	271.88	561.51	497.24	843.59	657.87	448.25	462.28
"ENSMUSG00000002699"	10497.98	8711.54	9008.87	3073.38	3595.59	1768.75	735.21	1195.06	978.89
"ENSMUSG00000002718"	3381.85	2366.97	2889.73	2115.84	1183.72	1268.03	809.76	1806.02	1412.66
"ENSMUSG00000002728"	907.44	785.1	736.79	1048.51	1624	1865.42	1305.5	785.05	819.45
"ENSMUSG00000002768"	673.41	922.69	800.43	1191.24	1604.69	1826.9	2819.72	1221.1	1251.45
"ENSMUSG00000002781"	137.83	154.69	180.56	52.54	36.69	75.52	37.27	77.28	45.43
"ENSMUSG00000002799"	2616.86	3009.82	3431.42	324.67	760.83	367.8	1005.45	944.5	977.11
"ENSMUSG00000002803"	102.68	146.92	229.68	263.5	261.66	250.74	337.32	392.93	334.02
"ENSMUSG00000002845"	2083.13	1498.69	1598.1	3146.31	4485.79	4344.08	4616.29	11517.83	11373.46
"ENSMUSG00000002871"	650.28	725.25	614.34	1192.02	1602.76	823.2	1497.45	1583.93	1337.84
"ENSMUSG00000002881"	6477.87	3835.35	4506.51	3064.75	2391.59	1493.09	1967.1	2938.44	2838.69
"ENSMUSG00000002908"	20.35	31.09	2.77	61.17	140	79.3	340.12	203.38	337.58
"ENSMUSG00000002910"	222	348.24	279.49	1184.96	1253.24	647.23	618.74	1011.21	783.82
"ENSMUSG00000002948"	605.88	839.52	850.25	517.59	543.59	432.75	389.51	575.16	454.26
"ENSMUSG00000002957"	4530.72	4419.12	4307.96	1273.58	1117.1	712.94	1491.86	1570.91	1727.08
"ENSMUSG00000002968"	1289.47	1570.98	1611.25	944.99	838.07	837.55	697.01	610.14	916.54
"ENSMUSG00000002981"	4204.19	4328.95	3673.56	9643.62	11083.18	6103.76	16307.04	13046.44	13018.6
"ENSMUSG00000002983"	5519.55	4178.15	4550.79	22495.5	30585.66	15521.47	52008.28	48684.36	45950.79
"ENSMUSG00000002985"	933.34	1490.14	1073.7	16386.39	26834.63	26704.15	5090.59	4300.27	6541.37
"ENSMUSG00000003039"	3447.52	3557.84	3488.15	7256.44	9582.76	6982.85	20531.03	15286.06	15616.8
"ENSMUSG00000003051"	86.03	57.52	33.21	0	0.97	0	0	0	0
"ENSMUSG00000003070"	55.5	34.2	59.5	514.45	667.17	483.35	1274.74	1797.88	1578.34
"ENSMUSG00000003123"	1475.4	1626.17	1380.87	788.93	910.48	602.67	861.01	1714.09	1772.51
"ENSMUSG00000003153"	3203.32	2797.61	2887.65	1275.93	1237.79	515.07	75.48	308.32	281.46
"ENSMUSG00000003154"	895.41	910.25	1012.13	471.32	367.86	172.95	838.65	750.07	586.98
"ENSMUSG00000003161"	5748.96	6287.82	6270.65	9391.88	11867.18	11379.04	31580.68	14130.05	14668.2
"ENSMUSG00000003199"	1492.05	1829.83	1594.64	3208.27	4594.9	2019.48	6706.39	3504.65	3461.3
"ENSMUSG00000003228"	53.65	44.31	64.34	208.6	253.93	204.67	256.25	272.53	317.98
"ENSMUSG00000003233"	552.23	509.93	607.42	339.57	355.31	294.54	318.69	553.19	490.78
