ID	log2fold	p	p.adj
ENSMUSG00000059336	-2.63219109820235	2.70415989632991E-11	3.40322884501339E-09
ENSMUSG00000028300	1.5452020345761	3.28757888920925E-11	4.11094880716698E-09
ENSMUSG00000060591	-2.48091119201424	3.36959528269317E-11	4.18666848277042E-09
ENSMUSG00000031150	2.85911993726261	3.41465290095834E-11	4.21579962905028E-09
ENSMUSG00000026158	1.57264833181017	3.72217308530138E-11	4.56656794811158E-09
ENSMUSG00000058486	1.76040179671948	4.01645740603403E-11	4.89681466371911E-09
ENSMUSG00000030189	-1.4052410602835	4.32285376792608E-11	5.23763406527541E-09
ENSMUSG00000092702	-24.7414824282757	4.86307280031753E-11	5.85580006887617E-09
ENSMUSG00000041084	-1.64311884337719	4.91551328502384E-11	5.88263298472148E-09
ENSMUSG00000033192	-2.77263289088217	5.69128640890998E-11	6.76950755967116E-09
ENSMUSG00000049037	-5.38234635808192	5.9971228931488E-11	7.09005310767597E-09
ENSMUSG00000102882	2.15198219596057	6.14256407352989E-11	7.21825285435829E-09
ENSMUSG00000098814	-6.07435854928264	6.26541251854931E-11	7.31852706582883E-09
ENSMUSG00000094420	-3.01786158461928	6.60319040215896E-11	7.6671687604116E-09
ENSMUSG00000030629	0.97956585287067	6.87870181138346E-11	7.93981279495012E-09
ENSMUSG00000044667	3.46082734326891	7.01592091262765E-11	8.05056289662516E-09
ENSMUSG00000041797	-4.45874481266831	7.19258374460947E-11	8.20501351497643E-09
ENSMUSG00000027994	-2.53161708942749	7.54777945750582E-11	8.56014731846314E-09
ENSMUSG00000105283	2.28536938102883	1.17574354712131E-10	1.32573580194771E-08
ENSMUSG00000037031	-3.62086027667155	1.20428592343941E-10	1.35011525911106E-08
ENSMUSG00000022009	-1.00854160097129	1.24223410255175E-10	1.38470060791297E-08
ENSMUSG00000030187	-5.3336861226828	1.3078093619546E-10	1.44951347861639E-08
ENSMUSG00000091415	-17.0160391893954	1.45295879168802E-10	1.60129192934792E-08
ENSMUSG00000053286	1.09792818449609	1.57305688898788E-10	1.72391127716216E-08
ENSMUSG00000025491	-2.97394560298881	1.60981290684989E-10	1.75433633373859E-08
ENSMUSG00000026458	-2.49349927778171	1.65329097829704E-10	1.79170817298002E-08
ENSMUSG00000031995	1.75211299401391	1.94370650810226E-10	2.09480015765474E-08
ENSMUSG00000094797	-5.05667798756535	2.13154649874956E-10	2.25978682342977E-08
ENSMUSG00000026317	-3.21317976800899	2.11075329350228E-10	2.25978682342977E-08
ENSMUSG00000028683	-1.39337452442254	2.12581476719314E-10	2.25978682342977E-08
ENSMUSG00000067149	-3.3772351639984	2.48256738773422E-10	2.61769956932603E-08
ENSMUSG00000102329	1.81703823136039	2.69244803351873E-10	2.82374106397042E-08
ENSMUSG00000029075	2.01541507109246	2.73677654027466E-10	2.83533620136556E-08
ENSMUSG00000029177	-1.55440649779607	2.74710894580454E-10	2.83533620136556E-08
ENSMUSG00000032598	1.69655062607224	2.72709104100729E-10	2.83533620136556E-08
ENSMUSG00000105547	-3.60443341318868	2.95206330430154E-10	3.03083678300053E-08
ENSMUSG00000046841	-3.24492778378319	3.15974601285881E-10	3.22707672632654E-08
ENSMUSG00000000982	-3.76359662208817	3.22963694756468E-10	3.28127749667418E-08
ENSMUSG00000047632	3.92974244580902	3.28100775698161E-10	3.31619784017825E-08
ENSMUSG00000021929	1.96962870714499	3.47647623850807E-10	3.49565061776169E-08
ENSMUSG00000021248	-1.36346107953676	3.73397419150892E-10	3.73231890638961E-08
ENSMUSG00000015143	1.94224492055086	3.75011280900376E-10	3.73231890638961E-08
ENSMUSG00000040723	1.50681682905399	3.80043752198899E-10	3.76320480921011E-08
ENSMUSG00000020072	3.23363675519015	3.91967575393957E-10	3.86167247131814E-08
ENSMUSG00000027506	-1.43345296823909	4.08133756822067E-10	4.00073627855681E-08
ENSMUSG00000030872	1.43429910640749	4.27754845981182E-10	4.17210689027746E-08
ENSMUSG00000038781	1.72929304938451	4.31643531438242E-10	4.18908973520686E-08
ENSMUSG00000074622	-4.0459011807029	4.51611042622205E-10	4.3611765388274E-08
ENSMUSG00000002228	2.97815214788441	4.91827279581186E-10	4.72614519349271E-08
ENSMUSG00000018919	1.88001116085439	5.38462665769997E-10	5.14891726528202E-08
ENSMUSG00000020592	-2.48665634837104	5.44368348268091E-10	5.17999676569056E-08
ENSMUSG00000021280	3.21854668471894	6.02221311071319E-10	5.70268500731467E-08
ENSMUSG00000021643	-3.11151213681275	6.17673451568081E-10	5.82075170035679E-08
ENSMUSG00000026778	2.11559766701439	6.39134458327496E-10	5.99403648009349E-08
ENSMUSG00000011148	-2.74677798064075	6.52495836051729E-10	6.09006520280434E-08
ENSMUSG00000094502	-4.59770230577564	6.83935058873874E-10	6.35310533021556E-08
ENSMUSG00000026827	1.36110140842864	7.08150135433077E-10	6.51598334523256E-08
ENSMUSG00000026483	1.62973457908501	7.05830332859929E-10	6.51598334523256E-08
ENSMUSG00000070720	2.31863509986688	7.12887265219408E-10	6.52877553175352E-08
ENSMUSG00000015837	1.32898062277384	7.40773617682098E-10	6.75246306547883E-08
ENSMUSG00000019872	1.18112439860233	7.86458780350874E-10	7.13555880386256E-08
ENSMUSG00000028347	3.10598187741483	8.44956728197183E-10	7.63081985969558E-08
ENSMUSG00000027293	-1.38274826874161	8.95328138972929E-10	8.04846359767047E-08
ENSMUSG00000078783	-5.59645025401567	9.01321676648376E-10	8.06517520476141E-08
ENSMUSG00000030225	-1.03858818010873	9.08674888946853E-10	8.09384523227683E-08
ENSMUSG00000032087	2.39240914125983	9.73061150383905E-10	8.62795630024493E-08
ENSMUSG00000028885	-1.55572580219403	1.00661784555758E-09	8.88511054900079E-08
ENSMUSG00000001707	-1.54304713262196	1.02060774347008E-09	8.96801587922111E-08
ENSMUSG00000044313	3.75552674263782	1.03305430743539E-09	9.03667729827007E-08
ENSMUSG00000028098	1.43263598268503	1.05246560672919E-09	9.16537794217245E-08
ENSMUSG00000000290	-1.4786415646082	1.08559415525206E-09	9.41186008288979E-08
ENSMUSG00000026893	1.84738950074364	1.17970643931005E-09	1.01685771247617E-07
ENSMUSG00000096336	-3.44859322988196	1.18330189538161E-09	1.01685771247617E-07
ENSMUSG00000079543	-5.47406011849862	1.1949667465117E-09	1.02237790895631E-07
ENSMUSG00000024268	-3.05275984431071	1.2198946969675E-09	1.03914785387533E-07
ENSMUSG00000060803	-2.28914724631273	1.2830246369188E-09	1.08817224314674E-07
ENSMUSG00000038267	2.45892914988858	1.30241437398935E-09	1.09983537633811E-07
ENSMUSG00000019303	-2.52157903500509	1.36759247824022E-09	1.1498976928031E-07
ENSMUSG00000095612	-4.99813078684168	1.37518629661299E-09	1.15132013253346E-07
ENSMUSG00000076570	-5.87681248111753	1.48331115711873E-09	1.23653635649209E-07
ENSMUSG00000021069	2.26483054513961	1.52488196341321E-09	1.26578180682134E-07
ENSMUSG00000051029	1.69209712962382	1.53944680643236E-09	1.27245715479136E-07
ENSMUSG00000026307	1.42317836076579	1.65421906758099E-09	1.36155490933765E-07
ENSMUSG00000034714	2.2458728583838	1.71098198052939E-09	1.40235821404147E-07
ENSMUSG00000022439	-1.72948911155212	1.78382936046963E-09	1.4559480893172E-07
ENSMUSG00000017754	-2.89036524430469	1.81386289398367E-09	1.47429264470581E-07
ENSMUSG00000076508	-3.92651378820898	1.82830680688893E-09	1.47986642663827E-07
ENSMUSG00000003206	1.52886034676257	1.88494837237969E-09	1.51940859090953E-07
ENSMUSG00000055013	1.78080157999211	1.9764555788928E-09	1.58661394968979E-07
ENSMUSG00000026701	-1.76966307794162	2.19059803906107E-09	1.7513113093428E-07
ENSMUSG00000017716	-2.2107413242987	2.24143026146123E-09	1.78463592287038E-07
ENSMUSG00000075000	1.17381872403058	2.313045568446E-09	1.83416991478358E-07
ENSMUSG00000024525	-1.7280206817445	2.38058706883004E-09	1.8800855041161E-07
ENSMUSG00000042638	-4.87606329341667	2.41131758305976E-09	1.89667629406236E-07
ENSMUSG00000059791	-1.57670592102182	2.68151811635006E-09	2.10073790745545E-07
ENSMUSG00000039701	1.59415089658471	2.78436246210039E-09	2.16392663538615E-07
ENSMUSG00000031494	-4.33727069395198	2.78085449399418E-09	2.16392663538615E-07
ENSMUSG00000019214	-2.1963693763583	3.03775995401864E-09	2.35149140567626E-07
ENSMUSG00000024308	1.40761108626132	3.05785000160335E-09	2.35768695578168E-07
ENSMUSG00000027669	1.95535338305287	3.31492062075342E-09	2.52907286904031E-07
ENSMUSG00000108693	-2.15541018778534	3.30152341880519E-09	2.52907286904031E-07
ENSMUSG00000068854	-3.09317399748983	3.31902729519824E-09	2.52907286904031E-07
ENSMUSG00000101585	-2.97717993357444	3.40268842889506E-09	2.58273319776093E-07
ENSMUSG00000052384	-2.18565411611242	3.59027201053249E-09	2.71455178718827E-07
ENSMUSG00000021702	6.96814574712362	3.60538387185473E-09	2.71545263275175E-07
ENSMUSG00000024049	2.35301572844528	3.71820260347758E-09	2.78965300715527E-07
ENSMUSG00000038508	-5.24270586313329	3.9774026296767E-09	2.96134324798105E-07
ENSMUSG00000052632	1.77462135112623	3.97521406618828E-09	2.96134324798105E-07
ENSMUSG00000073802	1.94860493421573	4.20904078556193E-09	3.12189196212763E-07
ENSMUSG00000096632	-6.03095314367925	4.25414699295468E-09	3.14339565877147E-07
ENSMUSG00000033174	3.38779812392399	4.52420529517189E-09	3.31780724409467E-07
ENSMUSG00000074476	-2.08370467256814	4.50987156321653E-09	3.31780724409467E-07
ENSMUSG00000022498	-0.799771700826736	4.94280439882009E-09	3.61120919130275E-07
ENSMUSG00000020376	-1.11317628763853	5.30565551604839E-09	3.86184411013268E-07
ENSMUSG00000004933	-1.95842973160503	5.43382409000221E-09	3.94043146928153E-07
ENSMUSG00000015016	1.95180814106084	5.61024773199834E-09	4.05330009289229E-07
ENSMUSG00000023942	-1.67415087780272	5.66089044017927E-09	4.06682128668157E-07
ENSMUSG00000003810	1.44054457888181	5.67065868650939E-09	4.06682128668157E-07
ENSMUSG00000035439	-1.43735600588406	5.83920726194301E-09	4.17235956259056E-07
ENSMUSG00000036887	-3.74509603986969	5.86942306500498E-09	4.17864363974643E-07
ENSMUSG00000081946	-15.3598024924023	6.11412310413447E-09	4.33702543244913E-07
ENSMUSG00000024781	-0.974868116814509	6.58224634772841E-09	4.64855332832907E-07
ENSMUSG00000027187	1.41990132922237	6.60096002433564E-09	4.64855332832907E-07
ENSMUSG00000039217	-2.99638854512469	6.93519910577548E-09	4.86636435094828E-07
ENSMUSG00000001403	-2.44893824308045	7.06493136566187E-09	4.92198629107022E-07
ENSMUSG00000060063	-3.5706166920381	7.05461952506547E-09	4.92198629107022E-07
ENSMUSG00000029254	-1.95589175569299	7.11815194342809E-09	4.94141601282747E-07
ENSMUSG00000033096	-1.1926540533326	7.17914523165071E-09	4.96608461112803E-07
ENSMUSG00000006179	-3.51206956113287	7.59245558983014E-09	5.23342866398645E-07
ENSMUSG00000031712	1.7297458476677	7.7678109300591E-09	5.335446753967E-07
ENSMUSG00000033306	1.39973878477771	7.97415025557572E-09	5.45795610650932E-07
ENSMUSG00000022913	-1.29003034401636	8.4069611944841E-09	5.73407664408396E-07
ENSMUSG00000093894	-4.20369001790624	9.26111554062212E-09	6.29465438504932E-07
ENSMUSG00000059895	-1.46234017003557	9.40180877175425E-09	6.36809318439618E-07
ENSMUSG00000113669	2.0960270225858	9.48364751484449E-09	6.4012979955734E-07
ENSMUSG00000020325	-3.49685333771204	1.03144712209935E-08	6.9380824175145E-07
ENSMUSG00000020484	-1.98153839594562	1.05491760353546E-08	7.0715730900915E-07
ENSMUSG00000094124	-4.4626862352035	1.05909245274624E-08	7.07524536839754E-07
ENSMUSG00000038178	-1.89175815411218	1.10057864555008E-08	7.32729953540797E-07
ENSMUSG00000045658	-1.99321052152622	1.13946342336003E-08	7.5603785712531E-07
ENSMUSG00000028645	-1.51973655944394	1.15254623811115E-08	7.62126083621498E-07
ENSMUSG00000035164	1.57203462416986	1.15771617841205E-08	7.62958428793375E-07
ENSMUSG00000011256	1.20165811413438	1.16610506776915E-08	7.65899379022652E-07
ENSMUSG00000021638	4.02874164768977	1.19581233100094E-08	7.82775541638767E-07
ENSMUSG00000035704	-1.3792887747777	1.20928583680144E-08	7.88947786571427E-07
ENSMUSG00000045349	3.14690235745677	1.21648021472848E-08	7.90995984956947E-07
ENSMUSG00000028378	-3.12171487547511	1.23881900434132E-08	8.02845259723789E-07
ENSMUSG00000030638	7.77065588125676	1.24628341249681E-08	8.05008295615075E-07
ENSMUSG00000030107	1.68442716750573	1.3857048330122E-08	8.90379207800367E-07
ENSMUSG00000049922	-1.67958887567501	1.38758024899427E-08	8.90379207800367E-07
ENSMUSG00000037098	1.27752484108607	1.4377998921016E-08	9.19579098204127E-07
ENSMUSG00000005763	2.7300358445246	1.46436149878805E-08	9.33506528001912E-07
ENSMUSG00000076514	-4.19842502106229	1.52966416704497E-08	9.71959573503132E-07
